FDI,Property Time,Cost Procedures,Business Time,Business Procedure,Tribute Time,Government Spending,Exchange,Inflation,gdp_pc,Unemployment,Tax Burden,Diversity,Quality,Shadow Economy,Autocracy,Closed Anocracy,Democracy,Dem. Full,Dem. Interregnum,Dem. Interruption,Open Anocracy,Dem. Transition
7.25233231640274,5.0,4.8,17.0,9.0,578.0,9.39819198234112,56.9750470853147,4.2778755387818,3064.27996263859,10.394,89.7,2.9668126,0.85,39.47,0,0,0,0,0,0,1,0
8.09234920917782,5.0,3.6,17.0,9.0,578.0,9.39590568718206,54.5423279613666,5.98956236068734,3908.94906011431,22.974,89.0071,3.1714833,0.86,35.39,0,0,0,0,0,0,1,0
8.7886942137873,5.0,2.6,14.0,6.0,578.0,12.2837259772012,57.2742357441995,2.49725307891563,2917.36624185176,19.295,90.0119,3.2241375,0.84,41.04,0,0,0,0,0,0,1,0
5.71603734064551,7.0,3.1,14.0,6.0,578.0,12.0437077284519,64.642975973633,7.76871548067652,3143.0294799683,19.523,89.3,3.3659539,0.83,40.14,0,0,0,0,0,0,1,0
6.44066805582744,7.0,2.9,8.0,4.0,498.0,11.9102932556784,69.4355736620453,4.28154999826118,3462.68177840431,21.63,89.2,3.1776254,0.85,38.46,0,0,0,0,0,0,1,0
4.67672759828403,7.0,2.5,8.0,4.0,372.0,10.9099638916146,75.9616759606704,5.34580441814725,3643.71540108565,17.511,89.3,2.9204931,0.85,35.52,0,0,0,0,0,0,1,0
3.11193185351156,7.0,1.1,5.0,4.0,372.0,11.9350654316666,77.5550481598824,3.36682464224465,3833.15707396348,16.576,88.0,3.2387195,0.84,34.56,0,0,0,0,0,0,1,0
3.50211415457343,7.0,1.0,5.0,4.0,313.0,12.0858534859076,75.778866962639,2.30918242990974,4017.22991449473,17.499,86.5,3.4184322,0.84,34.78,0,0,0,0,0,0,1,0
6.98071685334312,7.0,2.1,3.0,3.0,107.2,18.3022813622208,37.0096135930442,3.23226279973214,30836.7306824685,5.399,59.6,2.1687193,0.96,12.11,0,0,0,1,0,0,0,0
-3.60692792508377,4.5,1.9,3.0,3.0,107.0,18.3815949567882,39.1607469727979,3.82550912709019,34479.7679298388,5.036,59.1,2.4018519,0.96,12.25,0,0,0,1,0,0,0,0
4.08209296205439,4.5,1.8,3.0,3.0,107.0,18.3072975284743,41.5594471705758,5.11538874013277,36595.7071548423,4.785,58.9,2.4248543,0.95,11.66,0,0,0,1,0,0,0,0
5.1976260080008,4.5,0.8,3.0,3.0,107.0,18.1722516420682,42.0080200326348,4.98597993495113,41051.6120652288,4.381,59.5,2.4538138,0.96,9.32,0,0,0,1,0,0,0,0
4.27606219832871,4.5,0.8,2.5,3.0,107.0,18.0939091867019,42.8467764017331,4.56982224937894,49701.2817843335,4.242,59.1756,2.8458574,0.96,8.96,0,0,0,1,0,0,0,0
3.08833289460119,4.5,0.8,2.5,3.0,107.0,18.4307470583246,45.7408630288694,4.94916075711996,42816.5674002829,5.565,61.4475,2.8565447,0.97,9.39,0,0,0,1,0,0,0,0
3.06476056059324,4.5,0.7,2.5,3.0,109.0,18.8346809712806,40.5106330129004,1.15185881776235,52147.0241942843,5.214,61.4,3.0508299,0.96,9.14,0,0,0,1,0,0,0,0
4.68683982564204,4.5,0.7,2.5,3.0,109.0,18.6643508516189,41.8373511173643,6.20209860660222,62609.6607161044,5.083,61.3,3.141454,0.97,8.87,0,0,0,1,0,0,0,0
3.71856898723869,4.5,0.7,2.5,3.0,109.0,18.8968665797827,43.1490246873109,1.80516406122744,68078.0442283168,5.225,63.4,3.1220667,0.97,9.83,0,0,0,1,0,0,0,0
3.45307909155615,4.5,0.7,2.5,3.0,105.0,18.8516011954899,41.2501910637454,-0.163781510862393,68198.4193446869,5.663,66.4,3.1816525,0.97,9.95,0,0,0,1,0,0,0,0
4.30361075123204,4.5,0.7,2.5,3.0,105.0,18.7735162015259,42.4430282022511,1.40489309838073,62558.2438786332,6.078,64.2,3.1857936,0.96,8.89,0,0,0,1,0,0,0,0
1.05608551598741,31.5,6.0,25.0,8.0,165.7,18.8913590714454,90.7923456929297,1.73971884960345,36889.2335135194,5.969,43.5,1.5692166,1.0,8.72,0,0,0,1,0,0,0,0
25.6558278307872,31.5,5.7,25.0,8.0,170.0,19.3462734216739,94.0338056833054,2.53779415754438,38417.4577857677,5.682,44.4,1.4897329,1.0,8.86,0,0,0,1,0,0,0,0
3.1225333500469,31.5,5.6,25.0,8.0,170.0,19.2582902718553,98.0883112053436,1.89216106882701,40669.3269586152,5.32,50.2,1.5486658,1.01,8.34,0,0,0,1,0,0,0,0
