"Country Name","Country Code","Indicator Name","Indicator Code",Attribute,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,
"Egypt","469","Export Diversification Index","total_theil","Value","3.5105331","3.5975897","3.4779367","3.2801943","3.1921933","3.4618268","3.1025493","2.8075516","2.9603295","2.7379496","2.3301115","2.2929869","2.1263535","2.164602","2.2187514","2.6234777","2.4847388","2.6123459","2.4397876","2.5974092","2.7507529","2.7404935","2.6259966","2.6472118",
"Eritrea","643","Export Diversification Index","total_theil","Value","0","0","5.1632767","4.1090097","3.7282331","3.4423511","3.2711415","3.0415728","3.0724573","2.9874153","3.1861708","3.0569222","2.8972943","2.8350923","3.4291234","2.7230177","4.7219434","3.1122298","3.0910153","3.1360495","2.9280221","3.7266111","3.4381683","6.1402211",
"Australia","193","Export Diversification Index","total_theil","Value","2.2135625","2.1845","2.1238463","2.0205376","1.9969993","1.9221693","1.9785953","1.989482","1.9164596","2.0364826","2.0640872","2.066927","2.0695632","2.1687193","2.4018519","2.4248543","2.4538138","2.8458574","2.8565447","3.0508299","3.141454","3.1220667","3.1816525","3.1857936",
"Austria","122","Export Diversification Index","total_theil","Value","1.3778471","1.3691512","1.3633213","1.3878299","1.4250395","1.4453521","1.4597783","1.4426628","1.4988475","1.5776868","1.5144616","1.5271957","1.5819448","1.5692166","1.4897329","1.5486658","1.5993285","1.5148768","1.5641875","1.6430012","1.6065305","1.5947686","1.5788687","1.6036071",
"Azerbaijan, Republic of","912","Export Diversification Index","total_theil","Value","0","4.3639126","4.0152655","3.7764161","3.5422301","2.226922","2.5456109","2.4222925","3.9255471","4.4568963","5.115314","5.2967405","5.0708942","4.7883792","4.9778614","5.6122217","5.6780424","5.8373384","5.8379779","5.9008827","6.0555224","5.9602041","5.9521561","6.0129099",
"Mauritania","682","Export Diversification Index","total_theil","Value","4.9592466","4.9008245","4.8677526","4.7233992","4.6743026","4.6514606","4.7462974","4.7740211","4.7148948","4.7650242","4.7005816","4.6650834","4.5752606","4.6527085","4.797677","4.7557859","4.5801935","4.757246","4.6399879","5.0152335","4.9947395","4.6725569","4.6729269","4.5095911",
"Czech Republic","935","Export Diversification Index","total_theil","Value","0","0","1.1421528","1.1685581","1.1735427","1.2252898","1.2922679","1.410813","1.4852145","1.5650958","1.5964209","1.6560665","1.6492921","1.6812001","1.7444839","1.7900903","1.8357699","1.8200194","1.8920505","2.0419803","1.9464784","1.9293687","1.9419489","1.9983959",
"Ethiopia","644","Export Diversification Index","total_theil","Value","0","0","4.2738662","4.7200079","4.5364676","4.5695262","4.6614194","4.7812896","4.4561224","4.2982001","3.885602","3.88182","3.9633222","3.9909868","4.0975089","3.8787222","3.8865349","3.8414664","3.8743169","4.1897407","4.203373","4.0729551","3.8159304","3.9458263",
"Romania","968","Export Diversification Index","total_theil","Value","2.1355593","2.1005168","2.1348436","2.1787221","2.1830549","2.2278368","2.2060795","2.3531842","2.3875778","2.3518126","2.4103801","2.4568951","2.3874123","2.2439179","2.1594465","2.0722055","2.0154872","1.9290415","2.0325429","2.0917699","2.0449767","2.0040915","2.0749876","2.0837703",
"Russian Federation","922","Export Diversification Index","total_theil","Value","0","2.7676542","2.6103466","2.6144962","2.4470441","2.5857811","2.6235933","2.4438558","2.6465437","2.8429604","2.7938089","2.9011521","2.9307554","3.0144868","3.252306","3.2912364","3.2285061","3.345752","3.3665335","3.8997393","3.9144485","3.9298675","3.924855","3.809397",
"Philippines","566","Export Diversification Index","total_theil","Value","2.4720449","2.5089509","2.5551658","2.6365659","2.7452867","2.9663582","3.2475364","3.401711","3.5208733","3.7057855","3.6307137","3.7035792","3.7014396","3.6961572","3.695693","3.6434469","3.6932776","3.4489253","3.2733154","3.4282854","3.147774","3.0965574","3.0599594","3.0818143",
"Papua New Guinea","853","Export Diversification Index","total_theil","Value","3.9569244","3.8528519","4.2823038","4.2113528","4.022573","4.095068","4.0142097","3.5539732","3.869911","3.9392183","3.7389066","3.6194761","3.6271503","3.5585954","3.8208179","4.008831","3.9147427","3.8234911","3.742089","3.7590952","3.6743271","3.6982057","3.6559002","3.8300724",
"Poland","964","Export Diversification Index","total_theil","Value","1.745782","1.6442794","1.7689703","1.7387855","1.6815292","1.6517915","1.5969528","1.6067291","1.6274902","1.6578443","1.6816537","1.6805208","1.6893657","1.7400541","1.6407217","1.6534371","1.6942564","1.6735106","1.7185929","1.7320163","1.6629971","1.6191711","1.6259567","1.6525975",
"United States","111","Export Diversification Index","total_theil","Value","1.4440589","1.427846","1.4404675","1.4774075","1.4741142","1.4987631","1.5167594","1.536352","1.594187","1.6442676","1.6035872","1.6111165","1.5744125","1.5695589","1.5421573","1.5514565","1.5068161","1.4950342","1.5257163","1.6438645","1.6589216","1.7025186","1.7172002","1.7226782",
"Uzbekistan","927","Export Diversification Index","total_theil","Value","0","5.4920621","5.4729667","5.5425415","4.8760438","4.0988402","4.042623","3.9092469","4.0066991","3.5281773","3.6172583","3.4768205","3.5168054","3.4435148","3.4562981","3.5100839","3.3869045","3.5842443","3.5951161","3.1042278","3.1151268","3.0442367","3.2265413","3.202745",
"St. Vincent and the Grenadines","364","Export Diversification Index","total_theil","Value","4.2538924","4.2842965","3.8976252","3.8472955","3.7909725","3.6003091","3.5050397","3.2981637","3.9534349","3.2863908","4.1986938","4.1228247","4.1519246","5.1747122","4.7841349","4.9495387","4.816453","5.1319609","4.1629648","4.7363038","3.5028198","3.2167003","3.9094477","4.3835168",
"Bahrain, Kingdom of","419","Export Diversification Index","total_theil","Value","3.4315455","2.9776411","3.1205721","3.1189473","3.2889512","3.0923419","3.2290051","3.116205","3.0122654","3.0279858","3.0155284","3.2246983","3.3423433","3.3865113","3.2664552","3.5403142","3.3112376","3.0471177","2.9851918","4.4009266","4.5258851","4.030642","2.8518066","2.8410444",
"Bahamas, The","313","Export Diversification Index","total_theil","Value","3.949229","3.9051363","3.8650739","3.3719482","3.5315132","3.4934022","3.7703063","3.0800216","3.5266678","3.6610332","3.8147748","3.9401331","3.6775708","4.2027183","4.6420646","4.5216141","4.1569724","3.8272653","3.7288623","4.5668116","4.1321821","3.9621828","4.3338213","4.1440635",
"Bosnia and Herzegovina","963","Export Diversification Index","total_theil","Value","0","2.230911","2.2272344","2.5763788","2.6698902","2.1473024","2.5234513","2.6460021","2.5073164","2.6777568","2.6356804","2.5814509","2.5393095","2.3982377","2.3101299","2.3040645","2.1831908","2.0618246","1.9752105","2.1586726","2.1462922","2.100769","2.1371939","2.142334",
